word,x_coord,y_coord,word_count,rank
nupepa_kuokoa,-37.3565,48.733616,665,454
mokuahi,-30.695223,-1.9172859,655,455
aponoia,2.4348682999999998,57.8971,654,456
maluhia,24.707428,10.042394999999999,652,457
muliwai,-24.067442,-48.678944,652,458
akoakoa,-33.255062,17.128007999999998,651,459
ma-,-17.85793,30.189606,649,460
pakahi,-19.670122,49.075897,646,461
olioli,3.7434915999999996,-25.144674,645,462
manaoio,15.318707999999999,33.164314000000005,644,463
hoopakele,8.459771,-0.7178821999999999,643,464
powa,11.783911,6.337249,642,465
uwe,7.1588554,-20.166605,640,466
iune,-39.808246999999994,29.760578000000002,639,467
lunamakaainana,-5.910958,64.434784,637,468
hoopai,7.842969,39.764618,636,469
pula,-38.056717,41.685658000000004,631,470
kaula,22.410045999999998,-51.705940000000005,625,471
puaa,40.894554,-37.40917,624,472
hooku,-31.733887,-17.127876,623,473
hopena,10.645196,1.3355267,620,474
loko,10.789808,-44.22807,620,475
lewa,-6.7693205,-46.195164,613,476
hoounaia,-21.34395,41.350815000000004,612,477
pali,-19.420572,-57.666686999999996,611,478
ukali,-25.418537,-8.473642,610,479
hoopa,-3.8966672,30.978321,608,480
kani,-4.197954,-34.440144000000004,608,481
lalau,17.272170000000003,-49.54705,607,482
wela,1.5547392,-63.903767,606,483
hapai,13.559475,48.069332,604,484
hoohiki,15.450957999999998,39.519005,604,485
pinepine,32.76675,-7.7959130000000005,601,486
kuleana,-2.1624296000000003,44.58027,594,487
kala,33.995544,-5.2441363,591,488
elemakule,-0.044268258,-23.803895999999998,588,489
lako,36.66235,18.309652,588,490
helehelena,12.591902000000001,-27.851328000000002,587,491
haiolelo,-19.044846,58.372715,587,492
waiona,6.980417,23.781902,584,493
lealea,0.31117135,-10.616586,581,494
hapaha,-31.784740000000003,42.488987,580,495
kaulana,15.642736,11.897112,578,496
ou,11.966856,-16.922531,576,497
haahaa,41.359814,13.676823,573,498
mauka,-44.673252000000005,-13.255996,573,499
himeni,-33.45182,9.104582,564,500
hakaka,6.0938344,12.708571000000001,564,501
paahao,-4.675032,22.703903,563,502
kuokoa,-31.552925,47.78525,562,503
lawa,10.552073,35.187622,559,504
mei,-39.745396,30.010515,559,505
kua,25.787182,-50.131122999999995,557,506
puna,-31.184053000000002,-33.248512,556,507
luna_hooponopono,-26.374588,48.448105,556,508
alo,-4.826609599999999,-39.105946,555,509
ke-_kahi,-11.735991,28.469812,555,510
iulai,-39.750107,29.785866,554,511
noloko,-12.683842,14.648382999999999,552,512
halepaahao,-4.8464613,22.29488,552,513
lokomaikai,19.57745,-2.7701051,552,514
moiwahine,-12.557249,12.822857,550,515
'lii,-11.19174,-4.612029,549,516
hoopiiia,4.8426447,43.404976,548,517
oki,19.63701,-49.27615,548,518
waha,21.416182,-61.72987,548,519
kapu,20.273117000000003,-34.067496999999996,548,520
mama,45.08162,-32.940690000000004,548,521
alualu,-23.84071,-17.638216,547,522
paiia,-26.044998,48.34211,545,523
hoonaauao,13.819751,32.561726,542,524
hoomaha,-34.479263,22.809760999999998,538,525
mahuahua,35.697475,9.342283,538,526
kalaiaina,-9.224972,63.140842000000006,537,527
ehiku,-48.484177,24.100466,536,528
makana,-24.247149,19.431944,535,529
anu,-5.7752566,-64.383705,535,530
puu,10.575744,-51.15575,534,531
koko,6.9923167,-59.350517,533,532
ilihune,31.233452000000003,5.9167185,533,533
kapaia,15.941607000000001,12.98674,531,534
heluna,-15.009216,33.982116999999995,523,535
ake,22.13235,14.955814000000002,521,536
hahai,11.494765,5.0638914,521,537
mokukaua,-28.974417,2.324008,520,538
kuikahi,18.023613,47.103245,517,539
owau,11.7680025,-15.433816,513,540
iwaho,10.867534,-41.569096,512,541
mailoko,-5.70829,16.098779999999998,511,542
hoopauia,-0.7033221,54.986973,509,543
owai,12.099787,-12.761564,509,544
hoku,-55.094467,11.940346,506,545
hoomana,20.612103,18.770676,505,546
kanikau,2.2126637000000002,-19.835773,500,547
hookuuia,6.242507,38.66299,495,548
hikina,-56.313736,5.427908,493,549
puuwai,10.335338,-30.734207,492,550
hookolokolo,5.568005599999999,49.81234,492,551
lalani,-31.772495000000003,40.675779999999996,492,552
pani,20.112642,25.176365,491,553
ohi,-12.3025675,44.070034,491,554
kihi,-39.709496,-12.38298,490,555
oloko,2.1068666,15.932333999999999,489,556
aua,-14.181748,27.833541999999998,489,557
ewalu,-48.37533,24.46061,489,558
nu,-22.012615,55.57213,488,559
lahaina,32.334564,54.417840000000005,488,560
akahi,-32.208484999999996,26.624626,487,561
hoopanee,7.0265320000000004,60.746246,486,562
hoomaikai,-17.5898,10.401428,486,563
ui,2.183411,-22.256828,483,564
loio_kuhina,2.3456657,50.892703999999995,481,565
paipai,22.979914,16.346536999999998,476,566
huna,23.001614,-19.840681,476,567
apono,2.206583,57.7899,475,568
huaolelo,26.446655,-3.1154642000000003,474,569
kuhikuhi,25.443179999999998,14.074937,473,570
akaka,31.632618,-1.3802143,473,571
kupanaha,10.237158,-28.223000000000003,472,572
aa,23.169445,-28.402752000000003,470,573
paani,0.2348096,-12.401542,470,574
molokai,32.72495,50.505558,470,575
ukana,24.679426,-41.21931,468,576
hookipa,-22.224659,10.762147,468,577
hookomoia,9.100389999999999,49.326218,464,578
kukui,17.145391,-32.729786,464,579
nonanona,-40.98591,49.795746,464,580
nalowale,-9.143553,-0.79558617,459,581
oili,-11.053782,4.7103515,459,582
kauwa,18.496939,-1.2514074,457,583
halewai,-7.6965747,24.79234,456,584
nee,-25.020782,22.607876,451,585
uwapo,-32.43145,-0.42089397,447,586
olua,9.879415,-15.804069,447,587
wae,2.9572024,59.46893299999999,444,588
mile,-45.733467,-21.066336,444,589
maa,20.725004000000002,4.8385663,444,590
hookaa,-6.7060885,44.61192,444,591
hemo,19.019245,-50.261665,443,592
luhi,19.307142000000002,-20.731022,443,593
waimea,29.976353000000003,51.928257,441,594
hikiwawe,25.781404000000002,-16.06895,436,595
moa,41.041354999999996,-38.49855,435,596
poka,18.272997,-41.865615999999996,435,597
weliweli,10.557942,-26.173798,435,598
aho,41.174118,-21.47466,433,599
mauna,-18.72541,-52.559096999999994,433,600
kahunapule,18.978153,17.10371,433,601
hapanui,-0.11725861,52.527824,432,602
kuahiwi,-18.932772,-50.818366999999995,431,603
liuliu,29.821765999999997,-14.059941,431,604
kali,30.152620000000002,-14.207498999999999,430,605
mokuna,11.511749,58.49276,427,606
nalo,0.58221996,-50.781723,426,607
lawelaweia,3.294892,29.332836,426,608
lei,-0.27445546,-21.160706,425,609
haunaele,4.3098445,10.880082000000002,423,610
pope,18.905521,19.769913,422,611
keokeo,16.70691,-68.29868,420,612
makemakeia,17.97025,31.217243,419,613
opiopio,1.7990949,-21.858849,418,614
paio,5.2337337,0.6128300999999999,418,615
iuka,-39.070409999999995,-22.486727,418,616
uka,-18.551003,-59.612087,418,617
launa,1.9553474999999998,-15.012226,417,618
lau,-9.710617,-62.686946999999996,415,619
kakali,-18.883831,18.463581,413,620
kalepa,31.44342,23.24061,413,621
luina,-27.09178,-5.1480074,412,622
hemahema,31.11265,3.9534912,411,623
akea,11.777658,25.386013000000002,407,624
nou,10.969091,-17.801174,405,625
komohana,-56.156490000000005,5.376778,405,626
mooolelo,-22.940635999999998,44.404964,405,627
ha,-43.977191999999995,8.439888999999999,403,628
pouli,-4.3669667,-50.452045,400,629
puuku,-6.9023449999999995,53.524048,399,630
hookohu,-6.2176547,55.410793000000005,398,631
hoopaaia,-6.3047943,23.300322,398,632
waikiki,-43.80786,-12.348597999999999,397,633
kui,23.862806,-52.10863,397,634
alahele,-15.886277999999999,45.0087,396,635
kuhihewa,29.715557,-2.641296,396,636
ululaau,-18.690313,-47.33122,396,637
malamalama,-4.441483,-50.58893,396,638
ahupuaa,34.42674,51.5988,393,639
aeia,18.236864,31.027820000000002,390,640
waeia,-9.124924,66.03899399999999,389,641
hoouka,1.1027421,3.4665160000000004,387,642
minamina,5.7977214,-19.69817,384,643
hina,-5.0383830000000005,-43.116170000000004,382,644
hoomanawanui,17.569164,-17.413387,381,645
nawaliwali,12.57992,-6.1157722,381,646
hoaloha,-16.811173999999998,8.19647,379,647
hoolimalima,42.49335,21.49225,379,648
